2022-11-10 22:31:05,336 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2022-11-10 22:31:05,336 [main] INFO  marytts.SSMLParser Starting power-on self test.
2022-11-10 22:31:05,336 [main] INFO  marytts.SSMLParser Power-on self test complete.
2022-11-10 22:31:05,482 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2022-11-10 22:31:05,482 [main] INFO  marytts.APMLParser Starting power-on self test.
2022-11-10 22:31:05,482 [main] INFO  marytts.APMLParser Power-on self test complete.
2022-11-10 22:31:05,546 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2022-11-10 22:31:05,546 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2022-11-10 22:31:05,547 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2022-11-10 22:31:05,547 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2022-11-10 22:31:05,636 [main] INFO  marytts.JTokeniser Starting power-on self test.
2022-11-10 22:31:05,636 [main] INFO  marytts.JTokeniser Power-on self test complete.
2022-11-10 22:31:05,636 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2022-11-10 22:31:05,637 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2022-11-10 22:31:05,637 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2022-11-10 22:31:05,653 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2022-11-10 22:31:05,653 [main] INFO  marytts.Prosody Starting power-on self test.
2022-11-10 22:31:05,654 [main] INFO  marytts.Prosody Power-on self test complete.
2022-11-10 22:31:05,654 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2022-11-10 22:31:05,654 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2022-11-10 22:31:05,654 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2022-11-10 22:31:05,654 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2022-11-10 22:31:05,655 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2022-11-10 22:31:05,655 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2022-11-10 22:31:05,655 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2022-11-10 22:31:05,655 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2022-11-10 22:31:05,655 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2022-11-10 22:31:05,655 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2022-11-10 22:31:05,656 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2022-11-10 22:31:05,656 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2022-11-10 22:31:05,656 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2022-11-10 22:31:05,656 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2022-11-10 22:31:05,656 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2022-11-10 22:31:05,656 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2022-11-10 22:31:05,656 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2022-11-10 22:31:05,656 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2022-11-10 22:31:05,656 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2022-11-10 22:31:05,657 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2022-11-10 22:31:05,657 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2022-11-10 22:31:05,680 [main] INFO  marytts.JTokeniser Starting power-on self test.
2022-11-10 22:31:05,681 [main] INFO  marytts.JTokeniser Power-on self test complete.
2022-11-10 22:31:05,681 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2022-11-10 22:31:05,681 [main] INFO  marytts.Preprocess Starting power-on self test.
2022-11-10 22:31:05,681 [main] INFO  marytts.Preprocess Power-on self test complete.
2022-11-10 22:31:05,681 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2022-11-10 22:31:05,683 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2022-11-10 22:31:05,683 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2022-11-10 22:31:05,684 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2022-11-10 22:31:05,684 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2022-11-10 22:31:05,684 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2022-11-10 22:31:05,692 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2022-11-10 22:31:05,692 [main] INFO  marytts.Prosody Starting power-on self test.
2022-11-10 22:31:05,693 [main] INFO  marytts.Prosody Power-on self test complete.
2022-11-10 22:31:05,694 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2022-11-10 22:31:05,695 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2022-11-10 22:31:05,698 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2022-11-10 22:31:05,698 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2022-11-10 22:31:05,698 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2022-11-10 22:31:05,698 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2022-11-10 22:31:05,699 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2022-11-10 22:31:06,886 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2022-11-10 22:31:06,886 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2022-11-10 22:31:06,888 [main] INFO  marytts.main Startup complete.
2022-11-10 22:31:06,986 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2022-11-10 22:31:06,986 [main] INFO  marytts.R 1 Handling request using the following modules:
2022-11-10 22:31:06,986 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2022-11-10 22:31:06,986 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2022-11-10 22:31:06,988 [main] INFO  marytts.R 1 Handling request using the following modules:
2022-11-10 22:31:06,988 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2022-11-10 22:31:06,989 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2022-11-10 22:31:06,989 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2022-11-10 22:31:06,989 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2022-11-10 22:31:06,989 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2022-11-10 22:31:06,989 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2022-11-10 22:31:06,989 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2022-11-10 22:31:06,989 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2022-11-10 22:31:06,989 [main] INFO  marytts.R 1 Next module: JTokeniser
2022-11-10 22:31:06,993 [main] INFO  marytts.R 1 Next module: Preprocess
2022-11-10 22:31:07,000 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
